image,tag,score
0,"artichoke, globe artichoke",6.682156526949257e-05
0,"tench, Tinca tinca",6.660321378149092e-05
0,cardoon,6.591306737391278e-05
0,Mexican hairless,6.579506589332595e-05
0,Bernese mountain dog,6.550075340783224e-05
0,"malamute, malemute, Alaskan malamute",6.537656736327335e-05
0,lorikeet,6.534395652124658e-05
0,"Dungeness crab, Cancer magister",6.48618588456884e-05
0,cannon,6.446004408644512e-05
0,"microphone, mike",6.438865966629237e-05
0,"hand-held computer, hand-held microcomputer",6.437950651161373e-05
0,"recreational vehicle, RV, R.V.",6.417488475563005e-05
0,baseball,6.402151484508067e-05
0,"zucchini, courgette",6.380014383466914e-05
0,"bathing cap, swimming cap",6.353540811687708e-05
0,"lighter, light, igniter, ignitor",6.290045712376013e-05
0,cliff dwelling,6.287046562647447e-05
0,"binoculars, field glasses, opera glasses",6.280622619669884e-05
0,kuvasz,6.221033982001245e-05
0,canoe,6.185845995787531e-05
0,"cowboy hat, ten-gallon hat",6.147020758362487e-05
0,soft-coated wheaten terrier,6.14233867963776e-05
0,reflex camera,6.131458940217271e-05
0,"revolver, six-gun, six-shooter",6.123949424363673e-05
0,"American alligator, Alligator mississipiensis",6.109552487032488e-05
0,"Indian elephant, Elephas maximus",5.9747333580162376e-05
0,"kit fox, Vulpes macrotis",5.959919872111641e-05
0,"bathtub, bathing tub, bath, tub",5.9334925026632845e-05
0,tractor,5.931455234531313e-05
0,sombrero,5.896723814657889e-05
0,barbell,5.8871264627669007e-05
0,earthstar,5.869265805813484e-05
0,"boa constrictor, Constrictor constrictor",5.824557592859492e-05
0,"perfume, essence",5.8038142014993355e-05
0,centipede,5.7407236454309896e-05
0,"quill, quill pen",5.733337457058951e-05
0,red wine,5.7210920203942806e-05
0,Pomeranian,5.646049612550996e-05
0,"Shetland sheepdog, Shetland sheep dog, Shetland",5.6207398301921785e-05
0,lemon,5.612276800093241e-05
0,mud turtle,5.601513112196699e-05
0,poncho,5.5660693760728464e-05
0,Great Dane,5.5330918257823214e-05
0,"violin, fiddle",5.506687011802569e-05
0,"thresher, thrasher, threshing machine",5.4932592320255935e-05
0,projector,5.483570566866547e-05
0,monitor,5.475768557516858e-05
0,"harvester, reaper",5.457911902340129e-05
0,Windsor tie,5.453520861919969e-05
0,crane,5.440233144327067e-05
0,apron,5.433736077975482e-05
0,car wheel,5.4142248700372875e-05
0,"motor scooter, scooter",5.410951780504547e-05
0,bassoon,5.4013780754758045e-05
0,"bonnet, poke bonnet",5.377037086873315e-05
0,stone wall,5.3604635468218476e-05
0,Chesapeake Bay retriever,5.1147217163816094e-05
0,golf ball,5.077808600617573e-05
0,"bullfrog, Rana catesbeiana",4.933037416776642e-05
0,Australian terrier,4.9310805479763076e-05
0,groenendael,4.894755329587497e-05
0,"Komodo dragon, Komodo lizard, dragon lizard, giant lizard, Varanus komodoensis",4.823678682441823e-05
0,"European gallinule, Porphyrio porphyrio",4.796010034624487e-05
0,"brassiere, bra, bandeau",4.7774850827408955e-05
0,"picket fence, paling",4.775936031364836e-05
0,analog clock,4.7348668886115775e-05
0,"restaurant, eating house, eating place, eatery",4.674244701163843e-05
0,consomme,4.6621571527794003e-05
0,bow,4.628810711437836e-05
0,menu,4.627482485375367e-05
0,"web site, website, internet site, site",4.6213473979150876e-05
0,tape player,4.575507409754209e-05
0,soccer ball,4.572798206936568e-05
0,tile roof,4.564903429127298e-05
0,"little blue heron, Egretta caerulea",4.557178181130439e-05
0,yurt,4.5500735723180696e-05
0,triumphal arch,4.485096724238247e-05
0,"backpack, back pack, knapsack, packsack, rucksack, haversack",4.469289706321433e-05
0,"racket, racquet",4.448797335498966e-05
0,space bar,4.434801667230204e-05
0,"beacon, lighthouse, beacon light, pharos",4.3899370211875066e-05
0,"stinkhorn, carrion fungus",4.3174775782972574e-05
0,orange,4.275462561054155e-05
0,"white stork, Ciconia ciconia",4.223830546834506e-05
0,"brass, memorial tablet, plaque",4.172707485849969e-05
0,"African crocodile, Nile crocodile, Crocodylus niloticus",4.1664123273221776e-05
0,"Ibizan hound, Ibizan Podenco",4.1365208744537085e-05
0,wreck,4.1139785025734454e-05
0,peacock,4.106707274331711e-05
0,"buckeye, horse chestnut, conker",4.0976541640702635e-05
0,"stupa, tope",4.0929910028353333e-05
0,collie,4.073687523487024e-05
0,"limpkin, Aramus pictus",4.0555889427196234e-05
0,"sea slug, nudibranch",4.041986176162027e-05
0,"goldfinch, Carduelis carduelis",4.0181683289119974e-05
0,strawberry,4.0063183405436575e-05
0,"Doberman, Doberman pinscher",3.960568574257195e-05
0,school bus,3.95434872189071e-05
0,manhole cover,3.9478076359955594e-05
0,"megalith, megalithic structure",3.931456740247086e-05
0,"monarch, monarch butterfly, milkweed butterfly, Danaus plexippus",3.9233662391779944e-05
0,"yellow lady's slipper, yellow lady-slipper, Cypripedium calceolus, Cypripedium parviflorum",3.880798612954095e-05
0,"ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle",3.879636278725229e-05
0,"diaper, nappy, napkin",3.8662550650769845e-05
0,sundial,3.8538746593985707e-05
0,bubble,3.8085909181972966e-05
0,"thunder snake, worm snake, Carphophis amoenus",3.806550012086518e-05
0,Irish terrier,3.804231164394878e-05
0,CD player,3.7954254366923124e-05
0,"bucket, pail",3.789262336795218e-05
0,"Old English sheepdog, bobtail",3.786437810049392e-05
0,carton,3.773762364289723e-05
0,totem pole,3.744069908862002e-05
0,"grocery store, grocery, food market, market",3.731052856892347e-05
0,"Indian cobra, Naja naja",3.710631062858738e-05
0,"sax, saxophone",3.7025434721726924e-05
0,mongoose,3.6876939702779055e-05
0,"wool, woolen, woollen",3.686652780743316e-05
0,"siamang, Hylobates syndactylus, Symphalangus syndactylus",3.680231384350918e-05
0,safety pin,3.664800169644877e-05
0,Appenzeller,3.6619527236325666e-05
0,acorn squash,3.5966833820566535e-05
0,"gibbon, Hylobates lar",3.595177986426279e-05
0,missile,3.5898810892831534e-05
0,"red wolf, maned wolf, Canis rufus, Canis niger",3.5848825064022094e-05
0,"hand blower, blow dryer, blow drier, hair dryer, hair drier",3.5836452298099175e-05
0,ping-pong ball,3.578062023734674e-05
0,"hognose snake, puff adder, sand viper",3.5356410080567e-05
0,"Gila monster, Heloderma suspectum",3.5116045182803646e-05
0,standard schnauzer,3.505474160192534e-05
0,vine snake,3.4901066101156175e-05
0,obelisk,3.47370259987656e-05
0,"aircraft carrier, carrier, flattop, attack aircraft carrier",3.473692777333781e-05
0,Rhodesian ridgeback,3.4580949431983754e-05
0,"mailbox, letter box",3.4426000638632104e-05
0,"walking stick, walkingstick, stick insect",3.4406373742967844e-05
0,magnetic compass,3.4310040064156055e-05
0,bee eater,3.4288648748770356e-05
0,typewriter keyboard,3.4019507438642904e-05
0,"Saluki, gazelle hound",3.3894604712259024e-05
0,snorkel,3.367258614161983e-05
0,bulbul,3.350217957631685e-05
0,folding chair,3.349965481902473e-05
0,Siberian husky,3.340531839057803e-05
0,"king snake, kingsnake",3.322929114801809e-05
0,"lynx, catamount",3.31794835801702e-05
0,bell pepper,3.3086707844631746e-05
0,alp,3.2819618354551494e-05
0,crane,3.279705560998991e-05
0,pole,3.2723448384786025e-05
0,macaw,3.2522129913559183e-05
0,Persian cat,3.2374486181652173e-05
0,"laptop, laptop computer",3.21628904202953e-05
0,convertible,3.211681905668229e-05
0,Norwich terrier,3.209450005670078e-05
0,kimono,3.199499406036921e-05
0,"slot, one-armed bandit",3.1956969905877486e-05
0,"crossword puzzle, crossword",3.155467129545286e-05
0,"Pembroke, Pembroke Welsh corgi",3.143932553939521e-05
0,"assault rifle, assault gun",3.135294537059963e-05
0,green mamba,3.1224219128489494e-05
0,iPod,3.115714207524434e-05
0,ox,3.0690422136103734e-05
0,sleeping bag,3.038640170416329e-05
0,plastic bag,3.0384577257791534e-05
0,toaster,3.0374611014849506e-05
0,neck brace,3.0364155463757925e-05
0,"hoopskirt, crinoline",3.0271919968072325e-05
0,macaque,3.004084101121407e-05
0,"remote control, remote",2.9956929211039096e-05
0,"black stork, Ciconia nigra",2.992455119965598e-05
0,torch,2.9906348572694696e-05
0,hair spray,2.9846172765246592e-05
0,"junco, snowbird",2.9800239644828252e-05
0,"leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea",2.954282535938546e-05
0,"shoe shop, shoe-shop, shoe store",2.9429078495013528e-05
0,maraca,2.930867049144581e-05
0,Blenheim spaniel,2.9288385121617466e-05
0,fiddler crab,2.913499702117406e-05
0,"Samoyed, Samoyede",2.910020157287363e-05
0,hair slide,2.890989344450645e-05
0,hatchet,2.8806523914681748e-05
0,geyser,2.8756017854902893e-05
0,snail,2.8718170142383315e-05
0,"gong, tam-tam",2.870253774744924e-05
0,"gas pump, gasoline pump, petrol pump, island dispenser",2.848686017387081e-05
0,wing,2.841184141288977e-05
0,"radio, wireless",2.8409509468474425e-05
0,fountain pen,2.838391810655594e-05
0,"diamondback, diamondback rattlesnake, Crotalus adamanteus",2.833691360137891e-05
0,West Highland white terrier,2.820735790010076e-05
0,miniature schnauzer,2.8167896743980236e-05
0,"patas, hussar monkey, Erythrocebus patas",2.803365896397736e-05
0,"horned viper, cerastes, sand viper, horned asp, Cerastes cornutus",2.79685809800867e-05
0,hermit crab,2.7904612579732202e-05
0,"rock python, rock snake, Python sebae",2.7897351174033247e-05
0,"toilet tissue, toilet paper, bathroom tissue",2.7771313398261555e-05
0,"gasmask, respirator, gas helmet",2.7692898584064096e-05
0,"washer, automatic washer, washing machine",2.7402391424402595e-05
0,"American egret, great white heron, Egretta albus",2.7391835828893818e-05
0,"lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens",2.7367368602426723e-05
0,kite,2.722427416301798e-05
0,purse,2.7205900551052764e-05
0,"Newfoundland, Newfoundland dog",2.7044401576858945e-05
0,cock,2.7029964257963002e-05
0,"axolotl, mud puppy, Ambystoma mexicanum",2.700607910810504e-05
0,mountain tent,2.6959733077092096e-05
0,hamster,2.69008942268556e-05
0,"apiary, bee house",2.684476930880919e-05
0,desk,2.6829258786165155e-05
0,"lab coat, laboratory coat",2.6808285838342272e-05
0,"Lhasa, Lhasa apso",2.6786896341945976e-05
0,"Boston bull, Boston terrier",2.6775938749779016e-05
0,magpie,2.6660767616704106e-05
0,"wood rabbit, cottontail, cottontail rabbit",2.6558320314507e-05
0,damselfly,2.655064599821344e-05
0,"vizsla, Hungarian pointer",2.6395935492473654e-05
0,"Bouvier des Flandres, Bouviers des Flandres",2.63594338321127e-05
0,"loggerhead, loggerhead turtle, Caretta caretta",2.6175339371548034e-05
0,vulture,2.6098641683347523e-05
0,"Airedale, Airedale terrier",2.6040313969133422e-05
0,pretzel,2.6037134375656024e-05
0,"American coot, marsh hen, mud hen, water hen, Fulica americana",2.5897514206008054e-05
0,catamaran,2.5785948309930973e-05
0,matchstick,2.5776484108064324e-05
0,"tank, army tank, armored combat vehicle, armoured combat vehicle",2.5746756364242174e-05
0,"dial telephone, dial phone",2.5697032469906844e-05
0,"projectile, missile",2.5660887331468984e-05
0,quail,2.5614455807954073e-05
0,wok,2.5585892217350192e-05
0,pillow,2.5564695533830673e-05
0,scorpion,2.5534214728395455e-05
0,"dragonfly, darning needle, devil's darning needle, sewing needle, snake feeder, snake doctor, mosquito hawk, skeeter hawk",2.542043148423545e-05
0,"dalmatian, coach dog, carriage dog",2.5380388251505792e-05
0,radiator,2.533516635594424e-05
0,"swab, swob, mop",2.530708115955349e-05
0,schooner,2.525339186831843e-05
0,espresso,2.5185088816215284e-05
0,reel,2.515699998184573e-05
0,space heater,2.5129953428404406e-05
0,shovel,2.508769102860242e-05
0,"wardrobe, closet, press",2.5009932869579643e-05
0,"indri, indris, Indri indri, Indri brevicaudatus",2.4899078198359348e-05
0,"American chameleon, anole, Anolis carolinensis",2.4884147933335043e-05
0,"orangutan, orang, orangutang, Pongo pygmaeus",2.470029539836105e-05
0,butternut squash,2.4554068659199402e-05
0,Irish wolfhound,2.4550301532144658e-05
0,hare,2.4543440304114483e-05
0,mask,2.4265415049740113e-05
0,abacus,2.396063064225018e-05
0,"frilled lizard, Chlamydosaurus kingi",2.3903594410512596e-05
0,"black swan, Cygnus atratus",2.3811107894289307e-05
0,Norfolk terrier,2.3800210328772664e-05
0,"harvestman, daddy longlegs, Phalangium opilio",2.3540793335996568e-05
0,"barn spider, Araneus cavaticus",2.352483534195926e-05
0,"golfcart, golf cart",2.3487040380132385e-05
0,moped,2.3484040866605937e-05
0,power drill,2.3448232241207734e-05
